Product name,Brand,Category,Rating,Review date,Review text
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","5","31 Oct 2025","Aku jarang pake ini sebenernya tapi suamiku yg pake, cocok banget buat rambut suamiku karena dia rambutnya juga panjang tapi bagus, lembut dan thick. karena cool menthol ofc rasanya ada sensasi dingin2nya, kalau untuk aku sendiri pas pake shampoo ini ga terlalu bikin lembut rambut tapi seger aja sensasinya, untuk rambut rontok belum terlalu ngaruh di aku, tapi untuk ketombe jarang muncul pas pake ini"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","5","20 Jan 2026","Sempet lamaa pake head & shoulders. Awalnya ini shampoo bapak gw 😅 terus gw betak hehhee, eh karena ada sensasi cooling nya di kepala jadi sejukk & seger bener. Sejak itu cukup lamaa sih pake brand shampoo ini. Wanginya menthol / mint gtuu bkin rambut fresh seharian"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","3","20 Apr 2026","Sebenernya aku makai ini jujur dari jaman sma tapi ga selalu konsisten dan ini tuh selalu beli packaging yang gede. Sensasi nya sih dingin banget apalagi klo lagi lepek dan memang membasmi ketombe banget. Tapi, kadang bikin rambut kasar terkhususnya di kulit kepala jadi keras banget. Aku sih jujur klo beli lagi ga sih, tapi ini kan personal experience ya."
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","3","24 Feb 2021","Harga cukup terjangkau, kemasan simple, warna sampoo biru agak kental, aroma menthol, segar ada sensasi dingin di kepala, tapi untuk menghilangkan ketombe ga ngefek sih di aku, malah kalau keseringan pake sampo ini jadi banyak yg robtok rambutku"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","4","28 Feb 2021","udah dari jaman kuliah dulu pake ini, packagingnya sih biasa aja dari botol plastik,, wangi wangi mentol dan warna agak keijoan apa biru gitu aku lupa 🤭 Pas di pake enaknya ada sensasi dinginnya, untuk ketombe sih, dikit banget nguranginya,, rambutku jg msh oily scalpnya. repurchase? may be"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","4","02 Mar 2021","enak sih dipakenya adem rasa mint gitu. awas kalo kena mata perih bgt ini shampoo nya. kalo ngilangin ketombe sih gatau ya ngaruh ga nya soalnya aq ga ketombean. cuman seger kalo abis pake shampoo ini dingin bgt dikepala. oia buat yg rambutnya coloring tidak disarankan soalnya bikin kering rambut kecuali kalo pake conditioner"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","4","06 Mar 2021","pas make ini ada sensasi dingin gitu di kepala, baunya enak nyegerin lah, busanya juga banyak tapi setelah beberapa jam rambutku jd kering tegang gitu jadi ga begitu suka untuk repurchase lagi... dan dulu kayanya product ini tuh mindset di aku cocok untuk cowo karena ba si ronaldo kan. waktu agnez mo yg jd ba aku ttp punya mindset itu gangerti kenapa bisa freak bgt aku"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","4","23 Feb 2021","ini aroma menthol nya kerasa banget, kaya aromanya tuh bikin seger gitu. terus waktu dipake ada sensasi dingin kaya lagi di kulkas😭😭😭 Busanya lumayan banyak dan abis pake ini emang ketombe berkurang banget, cuma emg gabisa ngilangin ketombe secara permanen"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","4","10 Mar 2021","pas dipake enak adem terus dingin dingin gitu lah pokoknya, wanginya juga bikin seger banget serius deh. kalo abis keramas rasanya enak banget kepala relax gitu pokoknya suka banget sih sama shampoo ini, udah sering banget beli ini sihhhh"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","5","10 Mar 2021","seneng banget sih di aku ngaruh banget yang awalnya ketomean ampe pusing nyari shampoo apa yang cocok biar ketombe ilang terus disaranin sama temen buat beli eh ternyata beneran ampu ketombe ilang deh"
"Cool Menthol Anti-Dandruff Shampoo","Head & Shoulders","Cool Menthol Anti-Dandruff Shampoo","4","10 Mar 2021","suka product ini gegara ini dingin bgt di kulit kepala dan kerasa bgt wangi mint.. menthol. adem bgt klo lg shampoan pke ini, tp emang kalo untuk kulit kepala yg berminyak dan mudah lepel kek aku, kurang di rekomen sih.. wajib bgt sehari minimal sekali keramas kalo pke ini. but overall 7.8/10 ❤️"
